country_code,country_name,indicator_name,indicator_code,year,value,source_url,fetch_ts
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2019,71.213,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294786
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2018,70.974,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294796
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2017,70.709,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294808
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2016,70.437,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294819
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2015,70.135,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294830
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2014,69.911,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294841
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2013,69.632,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294852
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2012,69.464,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294862
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2011,69.232,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294876
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2010,69.078,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294886
